ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Comment
25,Kota-all-1,ella:m,all-A,false,expert,BurrowEmeneau1961[82],,,,"DED844, "
26,Malayalam-all-1,ella,all-A,false,expert,Andronov1964;BurrowEmeneau1961[DED844],,,,"; DED844 - cited as ellam: Ma. ellām, ellāvum all; ellīrum you all., "
27,Tamil-all-1,ella:m,all-A,false,expert,Andronov1964;BurrowEmeneau1961[DED844],,,,"; DED844, "
28,Koya-all-1,anta:,all-B,false,expert,,,,,"high quality look-alike, Verkerk"
29,Telugu-all-1,anta,all-B,false,expert,Andronov1964,,,,", "
30,Koya-all-2,mottam,all-C,false,expert,,,,,"high quality look-alike, Verkerk"
31,Telugu-all-2,mottamu,all-C,false,expert,,,,,", Verkerk"
32,Toda-all-1,oʋʋoɖimo,all-D,false,expert,,,,,"could be ofody in following DED990 reference: To. wïḏ (obl. wïḏn-/wïn-) one; wïḏy, wïḏi· alone; wïnaṛ at the same time, together (wïḏ naṛ one step; cf. 3582); wïḏïnaṛ at once, immediately (< wïḏi· naṛ one step only); ofoḏy all, the whole (cf. Ta. ovv-oṉṟu each one)., Verkerk"
33,Telugu-all-3,anni,all-E,false,expert,,,,,", Verkerk"
34,Yeruva-all-1,nanga:ɭə,all-F,false,expert,,,,,", Verkerk"
35,Tulu-all-1,Ma:ta,all-G,false,expert,,,,,", Verkerk"
36,Betta_Kurumba-all-1,o:ʈəja,all-H,false,expert,,,,,"apparent singleton, Dunn"
37,Kuwi-all-1,hara,all-I,false,expert,BurrowEmeneau1961[215],,,,"DED2461, "
38,Brahui-all-1,kull,all-J,false,expert,,,,,"No obvious cognates., Kolipakam"
39,Malto-all-1,go:ʈahi:,all-K,false,expert,,,,,"No obvious cognates., Kolipakam"
40,Malto-all-2,gi:ʈeni:,all-L,false,expert,,,,,"No obvious cognates., Kolipakam"
41,Kurukh-all-1,majin,all-M,false,expert,,,,,"No obvious cognates, Kolipakam"
42,Kolami-all-1,ma:k,all-N,false,expert,,,,,"No obvious cognates, Kolipakam"
43,Gondi-all-1,bottig,all-O,false,expert,,,,,"No obvious cognates, Kolipakam"
44,Malayalam-ashes-1,tʃa:mbal,ashes-A,false,expert,Andronov1964;BurrowEmeneau1961[DED2453],,,,"; , "
45,Malayalam-ashes-2,tʃa:ɾam,ashes-A,false,expert,,,,,"Lookalike to members of DED2453, Jordan"
46,Tamil-ashes-1,sa:mbal,ashes-A,false,expert,Andronov1964;BurrowEmeneau1961[DED2453],,,,"; , "
47,Badga-ashes-1,kolabu:di,ashes-B,false,expert,,,,,"Lookalike to members of DED4316, Jordan"
48,Betta_Kurumba-ashes-1,pi:di,ashes-B,false,expert,,,,,"Lookalike with members of DED4316, Jordan"
49,Kannada-ashes-1,bu:di,ashes-B,false,expert,BurrowEmeneau1961[DED4316],,,,"B&E form: būda, būdi, būdu ""The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541"" but see note on the cognate class., "
50,Kodava-ashes-1,bu:di,ashes-B,false,expert,BurrowEmeneau1961[DED4316],,,,"The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541 but see note on cognate class, "
51,Kota-ashes-1,po:du atukə,ashes-B,false,expert,BurrowEmeneau1961[381],,,,"DED4316, "
52,Koya-ashes-1,bu:ɖida,ashes-B,false,expert,,,,,"Identical to members of DED4316, Jordan"
53,Telugu-ashes-1,bu:ɖida,ashes-B,false,expert,BurrowEmeneau1961[DED4316],,,,", "
54,Toda-ashes-1,pu:di,ashes-B,false,expert,BurrowEmeneau1961[DED4316],,,,"B&E form: To. pu·Q ""The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541"" But see note on cognate class., "
55,Yeruva-ashes-1,bu:di,ashes-B,false,expert,BurrowEmeneau1961[DED4316],,,,"Lookalike with Kodava ""The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541"" But see note on cognate class., "
56,Tulu-ashes-1,tʃu:nja,ashes-C,false,expert,,,,,"Self-identified, Jordan"
57,Tulu-ashes-2,tʃo:nja,ashes-C,false,expert,,,,,"Self-identified, Jordan"
58,Gondi-ashes-1,ni:ɾ,ashes-D,false,expert,BurrowEmeneau1961[329],,,,"DED3693, "
59,Ollari_Gadba-ashes-1,niɖ,ashes-D,false,expert,BurrowEmeneau1961[329],,,,"DED3693, "
60,Parji-ashes-1,nīd,ashes-D,false,expert,Andronov1964,,,,", "
61,Brahui-ashes-1,his,ashes-F,false,expert,,,,,"apparent singleton, Kolipakam"
62,Kolami-ashes-1,buggi,ashes-G,false,expert,BurrowEmeneau1961[376],,,,"DED4243, "
63,Kurukh-ashes-1,tʃind,ashes-H,false,expert,,,,,"apparent singleton, Kolipakam"
64,Badga-bark-1,paʈʈe,bark-A,false,expert,,,,,"high quality look alike of set - 3876(pg. 346), but not on DED list., Kolipakam"
65,Kodava-bark-1,aʈʈe,bark-A,false,expert,,,,,"high quality look alike of set - 3876(pg. 346), but not on DED list., Kolipakam"
66,Malayalam-bark-1,paṭṭa,bark-A,false,expert,Andronov1964;BurrowEmeneau1961[346],,,,"; set - 3876, "
67,Tamil-bark-1,paʈʈe,bark-A,false,expert,Andronov1964;BurrowEmeneau1961[346],,,,"; set - 3876, "
68,Telugu-bark-1,paṭṭa,bark-A,false,expert,Andronov1964;BurrowEmeneau1961[346],,,,"; DED3876, "
69,Kannada-bark-1,nāru,bark-B,false,expert,Andronov1964,,,,", "
70,Kurukh-bark-1,o:ɖak,bark-C,false,expert,BurrowEmeneau1961[74],,,,"DED757, "
71,Koya-bark-1,beɾaɖu,bark-D,false,expert,,,,,"high quality look alike of DED4417(pg. 391), but not on DED list., Kolipakam"
72,Telugu-bark-2,beɾaɖu,bark-D,false,expert,BurrowEmeneau1961[391],,,,"DED4417, "
73,Kodava-bark-2,tʃekke,bark-E,false,expert,BurrowEmeneau1961[11],,,,"set - 98, "
74,Koya-bark-2,danʈi,bark-F,false,expert,,,,,"self-identified, Kolipakam"
75,Kannada-bark-2,togaʈi,bark-G,false,expert,,,,,"self-identified, Kolipakam"
76,Toda-bark-1,puʈkoɾi,bark-H,false,expert,,,,,"self-identified, Kolipakam"
77,Tulu-bark-1,ketta,bark-I,false,expert,,,,,"self-identified, Kolipakam"
78,Gondi-bark-1,to:l,bark-J,false,expert,BurrowEmeneau1961[313],,,,"DED3559, "
79,Yeruva-bark-1,to:lu,bark-J,false,expert,,,,,"self-identified, Kolipakam"
80,Betta_Kurumba-bark-1,meɾto:lə,bark-K,false,expert,,,,,"Self-identified, Kolipakam"
81,Malayalam-bark-2,maɾattoli,bark-K,false,expert,,,,,"self-identified, Kolipakam"
82,Brahui-bark-1,bund,bark-L,false,expert,,,,,"No obvious cognate or entry in DED, Kolipakam"
83,Kolami-bark-1,ɖanɖi maɖɖa,bark-M,false,expert,,,,,"No obvious cognate or entry in DED, Kolipakam"
84,Kota-bark-1,kollutʃo,bark-N,false,expert,,,,,"No Obvious cognates or entry in DED, Kolipakam"
85,Malayalam-belly-1,ʋajaɾə,belly-A,false,expert,BurrowEmeneau1961[474],,,,"Set-5259, "
86,Tamil-belly-1,vayiṟu,belly-A,false,expert,BurrowEmeneau1961[474],,,,"Set-5259, "
87,Toda-belly-1,piɾ,belly-A,false,expert,BurrowEmeneau1961[474],,,,"Set-5259, "
88,Tulu-belly-1,bandʒi,belly-A,false,expert,BurrowEmeneau1961[474],,,,"Set-5259, "
89,Yeruva-belly-1,baiɾu,belly-A,false,expert,,,,,"High quality look alike, but not in the list of DED 5259, pg: 474., Kolipakam"
90,Yeruva-belly-2,ba:ɾə,belly-A,false,expert,,,,,"High quality look alike, but not in the list of DED 5259, pg: 474., Kolipakam"
91,Badga-belly-1,oʈʈe,belly-B,false,expert,,,,,"High quality look alike, but not in the list of DED 4494, pg: 397., Kolipakam"
92,Betta_Kurumba-belly-1,poʈʈi,belly-B,false,expert,,,,,"reasonable lookalike, Dunn"
93,Kannada-belly-1,hoṭṭe,belly-B,false,expert,Andronov1964,,,,", "
94,Kannada-belly-2,hoʈʈa,belly-B,false,expert,BurrowEmeneau1961[397],,,,"Set-4494 DED form has Potte, but change from p>h (proto-dravidian to kannada) indicated., "
95,Kodava-belly-1,poʈʈe,belly-B,false,expert,,,,,"High quality look alike, but not in the list of DED 4494, pg: 397., Kolipakam"
96,Malto-belly-1,puɖa:,belly-B,false,expert,BurrowEmeneau1961[397],,,,"Set 4494 ""Ka. poṭṭe belly, paunch, stomach, womb; poḍe belly, pregnancy; puṭṭi belly. Tu. poṭṭè pregnancy; poṭṭebañji a pot-belly (bañji belly); boḍḍe stout man. Te. poṭṭa belly."", "
97,Parji-belly-1,poṭṭa,belly-B,false,expert,BurrowEmeneau1961[397],,,,"Set-4494, "
98,Telugu-belly-1,poʈʈa,belly-B,false,expert,BurrowEmeneau1961[397],,,,"Set-4494, "
99,Telugu-belly-2,kaɖupu,belly-C,false,expert,BurrowEmeneau1961[112],,,,"Set-1198, "
100,Koya-belly-1,ɖokka,belly-D,false,expert,,,,,"Self-Identified, Kolipakam"
101,Tamil-belly-2,tonti,belly-E,false,expert,BurrowEmeneau1961[308],,,,"Set-3507, "
102,Tamil-belly-3,toppai,belly-F,false,expert,,,,,"Self-Identified, Kolipakam"
103,Kurukh-belly-1,ku:l,belly-G,false,expert,BurrowEmeneau1961[200],,,,"DED2244, "
104,Brahui-belly-1,peɖʰ,belly-H,false,expert,BurrowEmeneau1961[371],,,,"DED4193, "
105,Gondi-belly-1,pi:ɾ,belly-H,false,expert,BurrowEmeneau1961[371],,,,"DED4193, "
106,Ollari_Gadba-belly-1,pudug,belly-H,false,expert,BurrowEmeneau1961[371],,,,"DED4193, "
107,Kuwi-belly-1,banɖi,belly-I,false,expert,BurrowEmeneau1961[348],,,,"DED3898, "
108,Kolami-belly-1,ʈeʈʈe,belly-J,false,expert,,,,,"No obvious cognates or entry in DED, Kolipakam"
109,Kota-belly-1,naɖpe:ʈgu,belly-K,false,expert,,,,,"No obvious cognates or entry in DED, Kolipakam"
110,Gondi-big-1,pedda,big-A,false,expert,BurrowEmeneau1961[391],,,,"DED4411, "
111,Koya-big-1,beɾɾa,big-A,false,expert,,,,,"high quality look-alike, Verkerk"
112,Kuwi-big-1,be:ɾ,big-A,false,expert,BurrowEmeneau1961[391],,,,"DED4411, "
113,Malto-big-1,be:ɖo,big-A,false,expert,,,,,"High quality cognate candidate, Dunn"
114,Parji-big-1,berto,big-A,false,expert,BurrowEmeneau1961[DED4411],,,,"DED4411; ""Pa. berto big;"", "
115,Tamil-big-1,peɾija,big-A,false,expert,Andronov1964;BurrowEmeneau1961[DED4411],,,,"; DED4411; ""Ta. peru, perum, pēr great; peritu that which is great, big, large; greatly; periya large, great, elder, important; "", "
116,Tamil-big-2,perəsə,big-A,false,expert,,,,,"Not in DED4411, look-alike but doubtful, Verkerk"
117,Telugu-big-1,pedda,big-A,false,expert,Andronov1964;BurrowEmeneau1961[DED4411],,,,"; DED4411; ""Te. perũgu, per(u)gu, per(u)vu to grow, grow up, increase, accumulate, be augmented, expand, extend; perũguḍu growth, increase; perime, pemme greatness, power, authority; pērima grandeur, magnificence; pērimi greatness, eminence; pēru great, large, much; pēr(u)cu to increase, rise, swell; pekku many; pekkaṇḍru, pekkuru many persons; pekkuva increase, growth, development, excess; (inscr.) perddaḷ elders; pedda great, big, large, long, tall, old, senior, chief, respectable; an elder, superior, head man; peddayu adv. much, very, exceedingly; peddi mother's elder sister; peccu excess, addition; heccu, eccu increase, greatness; much, more, superior, excessive; vb. to increase, rise; penu (before consonant), penn- (before vowel) large, big, great; pencu to enlarge; pellu excessiveness, greatness; excessive, much, great; greatly, much, very; pellidamu greatness, excessiveness; peluca much, exceeding; pelucana greatness, excessiveness; bebbuli a royal tiger.; "", "
118,Kodava-big-1,baljadə,big-B,false,expert,BurrowEmeneau1961[DED5276],,,,"DED5276; ""Koḍ. bala power, strength; balate right (hand); ballyë great."", "
119,Malayalam-big-1,ʋaludə,big-B,false,expert,Andronov1964;BurrowEmeneau1961[DED5276],,,,"; DED5276; ""Ma. val, valu, valiya strong, powerful, great; valiyā forcibly, suddenly; valaṅ-kai right hand; valam the right or strong side; valippam, valima greatness, bigness; valluka to be able, strong; vallabham power, capacity; vanpu greatness, strength; vampikka to grow large, grow arrogant"", "
120,Yeruva-big-1,baleji,big-B,false,expert,,,,,"high-quality look-alike, Verkerk"
121,Badga-big-1,doɖɖadə,big-C,false,expert,,,,,"high quality look-alike, Verkerk"
122,Kannada-big-1,doɖɖadu,big-C,false,expert,Andronov1964;BurrowEmeneau1961[DED3491],,,,"; DED3491; ""Ka. doḍḍa big, large, stout, thick, great, extensive, spacious, respectable, eminent, important, chief, principal, loud;"", "
123,Tulu-big-1,malla,big-D,false,expert,BurrowEmeneau1961[DED4729],,,,"DED4729; ""Tu. malla, mallavu, mallāvu great, large, big, extensive, chief, principal, important, loud;"", "
124,Toda-big-1,ittu:ɖə,big-E,false,expert,,,,,"Cannot be related to any of the forms, Verkerk"
125,Betta_Kurumba-big-1,dappu,big-F,false,expert,,,,,"apparent singleton, Dunn"
126,Brahui-big-1,ballun,big-G,false,expert,BurrowEmeneau1961[476],,,,"DED5276, "
127,Kurukh-big-1,koha,big-H,false,expert,,,,,"no other obvious cognates, Kolipakam"
128,Ollari_Gadba-big-1,muɾe,big-I,false,expert,,,,,"No other cognate or entry in DED, Kolipakam"
129,Kota-big-1,toɖut,big-J,false,expert,,,,,"No other cognate or entry in DED, Kolipakam"
130,Tamil-bird-1,paɾaʋai,bird-A,false,expert,Andronov1964;BurrowEmeneau1961[DED4020],,,,"; DED4020: Ta. paṟa (paṟapp-, paṟant-) to fly, hover, flutter, move with celerity, hasten, be in a hurry, be greatly agitated, be scattered, dispersed, disappear; paṟapaṟa (-pp-, -tt-) to hasten, hurry; paṟati over-hastiness, over-anxiety; paṟappaṉ hasty person; paṟappu flying, haste, anxiety; paṟappai, paṟal bird; paṟavai bird, wing, feather, bee; paṟi (-v-, -nt-) to run away (as a horse), flow out quickly, be displaced suddenly, give way, fly off (as steam), be discharged (as an arrow); paṟai flying, wing, feather, bird; pāṟu (pāṟi-) to run, flee, be scattered, give way, be in disorder, cross over; n. hawk, kite, falcon, eagle; ruin; pāṟal heavy shower; bull (cf. meaning of Ka. vb. pāṟu)., "
131,Toda-bird-1,paɾaʋai,bird-A,false,expert,BurrowEmeneau1961[358],,,,"set-4020 - Not listed in the DED form: To. po·ṟ- (po·ṟy-) to fly; po·ṯ- (po·ṯy-) to teach (young) to fly; o·ṟc- (o·ṟ&cangle;-) to throw in air and catch (jackstraws, coins). Could be a loanword from Tamil?, "
132,Betta_Kurumba-bird-1,pikki,bird-B,false,expert,,,,,"Clear cognate to loans in other languages, Dunn"
133,Kannada-bird-1,hakki,bird-B,false,expert,Andronov1964,,,,", "
134,Kannada-bird-2,pakʂi,bird-B,false,expert,,,,,"Same as loan word in closely related language, Kolipakam"
135,Kodava-bird-1,pakʂi,bird-B,false,expert,,,,,"Same as loan word in closely related language - Andronov, Kolipakam"
136,Kota-bird-1,pakkigaɭ,bird-B,false,expert,,,,,"similar to other forms, Kolipakam"
137,Malayalam-bird-1,pakʂi,bird-B,false,expert,Andronov1964,,,,"Loanword according to Andronov, "
138,Telugu-bird-1,pakʂi,bird-B,false,expert,Andronov1964,,,,"Loanword according to Andronov, "
139,Tulu-bird-1,pakki,bird-B,false,expert,,,,,"Same as loan word in closely related language - Andronov, Kolipakam"
140,Yeruva-bird-1,paktʃi,bird-B,false,expert,,,,,"Same as loan word in closely related language - Andronov, Kolipakam"
141,Gondi-bird-1,piʈʈə,bird-C,false,expert,BurrowEmeneau1961[368],,,,"DED4154, "
142,Kolami-bird-1,piʈʈa,bird-C,false,expert,BurrowEmeneau1961[368],,,,"DED4154, "
143,Koya-bird-1,piʈʈe:ku,bird-C,false,expert,,,,,"high quality look-alike, Verkerk"
144,Telugu-bird-2,pitta,bird-C,false,expert,Andronov1964;BurrowEmeneau1961[DED4154],,,,"; DED4154, "
145,Malayalam-bird-2,kili,bird-D,false,expert,BurrowEmeneau1961[DED1584],,,,"DED1584: Ta. kiḷi, kiḷḷai parrot., "
146,Kuwi-bird-1,minu,bird-E,false,expert,,,,,"Doubtful translation, Kolipakam"
147,Malto-bird-1,pudʒudu,bird-F,false,expert,,,,,"No obvious cognates or entry in DED, Kolipakam"
148,Brahui-bird-1,tʃok,bird-G,false,expert,,,,,"No obvious cognates or entry in DED, Kolipakam"
149,Kurukh-bird-1,oɖa,bird-H,false,expert,,,,,"No obvious cognates or entry in DED, Kolipakam"
150,Ollari_Gadba-bird-1,titə,bird-I,false,expert,BurrowEmeneau1961[286],,,,"DED3275, "
151,Betta_Kurumba-bite-1,kaɖi ~ kajɾi,bite-A,false,expert,,,,,"clear cognate, Dunn"
152,Brahui-bite-1,kaat kanning,bite-A,false,expert,BurrowEmeneau1961,,,,"DED1124, "
153,Kannada-bite-1,kaḍi-,bite-A,false,expert,Andronov1964,,,,", "
154,Kodava-bite-1,kaɖi,bite-A,false,expert,BurrowEmeneau1961[DED1124],,,,", "
155,Kota-bite-1,kaɖə,bite-A,false,expert,BurrowEmeneau1961,,,,"DED1124, "
156,Malayalam-bite-1,kadikkuga,bite-A,false,expert,Andronov1964;BurrowEmeneau1961[DED1124],,,,"; -kkuga is a verb ending (from online Malayalam dictionaries), "
157,Tamil-bite-1,kaɖi,bite-A,false,expert,Andronov1964;BurrowEmeneau1961[DED1024],,,,"; , "
158,Yeruva-bite-1,kaɖi,bite-A,false,expert,BurrowEmeneau1961[DED1124],,,,"Identical to DED forms, "
159,Toda-bite-1,paɾtʃiʈtʃi,bite-B,false,expert,,,,,"No evidence to linking this to any other class, Dunn"
160,Kolami-bite-1,atekaʂin,bite-C,false,expert,,,,,"No obvious cognate or entry in DED, Kolipakam"
161,Koya-bite-1,koɾaka,bite-D,false,expert,,,,,"Good quality lookalike to DED2164, Dunn"
162,Parji-bite-1,kork-,bite-D,false,expert,Andronov1964;BurrowEmeneau1961[DED2164],,,,"; , "
163,Telugu-bite-1,koɾuku,bite-D,false,expert,BurrowEmeneau1961[DED2164],,,,", "
164,Badga-bite-1,katʃtʃə,bite-F,false,expert,,,,,"Identical to sister Kannada term from DED, Dunn"
165,Gondi-bite-1,kask,bite-F,false,expert,BurrowEmeneau1961,,,,"DED1097, "
166,Kannada-bite-2,katʃtʃu,bite-F,false,expert,BurrowEmeneau1961[DED1097],,,,", "
167,Koya-bite-2,katʃtʃa:,bite-F,false,expert,,,,,"Identical to sister Kannada term from DED, Dunn"
168,Kurukh-bite-1,kʰatʃtʃna,bite-F,false,expert,,,,,"high quality look alike to 1097, Kolipakam"
169,Kuwi-bite-1,katʃine,bite-F,false,expert,BurrowEmeneau1961,,,,"DED1097, "
170,Tulu-bite-1,tina:ɾa,bite-G,false,expert,,,,,"No evidence to linking this to any other class, Dunn"
171,Malto-bite-1,ko:hi,bite-H,false,expert,,,,,"No obvious cogante or entry in DED, Kolipakam"
172,Badga-black-1,kappə,black-A,false,expert,,,,,"Lookalike with members of DED1395, Jordan"
173,Betta_Kurumba-black-1,kaɾtənu ipədə,black-A,false,expert,,,,,"Lookalike with members of DED1395, Jordan"
174,Gondi-black-1,kaɾə,black-A,false,expert,Buck1949[130],,,,"DED1395, "
175,Kannada-black-1,kappu,black-A,false,expert,BurrowEmeneau1961[DED1395],,,,"B&E form: kaṟe, kaṟi blackness, the colour black, stain, blot; kaṟṟage, kaṟṟane blackly, blackness; karpu, kappu blackness, "
176,Kodava-black-1,kaɾtadə,black-A,false,expert,BurrowEmeneau1961[DED1395],,,,"B&E form: Koḍ. kara- (karap-, karat-) to become black; karapï blackness; karatë black; kare stain More likely to be a member of DED1395 than DED1278, "
177,Kota-black-1,kaɾuppə,black-A,false,expert,Buck1949[130],,,,"DED1395, "
178,Koya-black-1,ka:ʈe,black-A,false,expert,,,,,"Lookalike with members of DED1395, Jordan"
179,Malayalam-black-1,kaɾuppə,black-A,false,expert,Andronov1964;BurrowEmeneau1961[DED1395],,,,"; B&E form: kaṟuppu, kaṟu, "
180,Tamil-black-1,kaɾəppə,black-A,false,expert,BurrowEmeneau1961[DED1395],,,,"1395 Ta. kaṟu (-pp-, -tt-) to grow black, darken, ... kaṟukaṟu (-pp-, -tt-) to become very black; kaṟuppaṉ black man, a demon; kaṟuppu blackness, darkness, spot, taint, moral defect Some confusion with DED1278 kar-, "
181,Toda-black-1,kappə,black-A,false,expert,BurrowEmeneau1961[DED1395],,,,"B&E form: kaṟf- (kaṟt-) to become black, dark; kap black dot, "
182,Tulu-black-1,kappu,black-A,false,expert,BurrowEmeneau1961[DED1395],,,,"This is ""to become black"". DED1278 lists Tu. kardů ""black"", "
183,Yeruva-black-1,kaɾtaji,black-A,false,expert,,,,,"Lookalike with members of DED1395, Jordan"
184,Koya-black-2,nalla,black-B,false,expert,,,,,"Lookalike with e.g. Telugu nalla and other members of DED3613, Jordan"
185,Telugu-black-1,nalupu,black-B,false,expert,BurrowEmeneau1961[DED3613],,,,", "
186,Telugu-black-2,nalla,black-B,false,expert,BurrowEmeneau1961[DED3613],,,,", "
187,Kuwi-black-1,kadia,black-C,false,expert,,,,,"apparent singleton. No entry in DED, Kolipakam"
188,Brahui-black-1,ma:on,black-D,false,expert,BurrowEmeneau1961[DED4781],,,,"Br. maun black, dark (of night)., "
189,Kurukh-black-1,mokʰaɾo,black-D,false,expert,BurrowEmeneau1961[DED4781],,,,"Kui māsu dusk, twilight. Kur. māxā night; māxnā to grow dark, be overtaken by night; mōxārō black, dark-complexioned., "
190,Kannada-black-2,karu-,black-E,false,expert,BurrowEmeneau1961[DED1278],,,,"B&E form: Ka. kari to be scorched, singed, charred; fry, roast; n. state of being scorched, frying, blackness, charcoal; karaku, kariku state of being scorched; karidu black; kar-, ka- id.; kargu to turn black (or with 1494 Ta. kār̤); kare blackness Unclear whether this is a member of DED1278 or DED1395, "
191,Malto-black-1,maɖhaɾo,black-F,false,expert,,,,,"apparent singleton. no entry in DED, Kolipakam"
192,Kolami-black-1,ɖa:ɾiate,black-G,false,expert,,,,,"apparent singleton. no entry in DED, Kolipakam"
193,Badga-blood-1,rattə,blood-A,false,expert,,,,,"obvious shared form with sister languages, Dunn"
194,Kannada-blood-1,ɾakta,blood-A,false,expert,Andronov1964,,,,", "
195,Malayalam-blood-1,ɾektam,blood-A,false,expert,Andronov1964,,,,", "
196,Tamil-blood-1,ɾattam,blood-A,false,expert,Andronov1964,,,,", "
197,Telugu-blood-1,ɾaktamu,blood-A,false,expert,Andronov1964,,,,", "
198,Badga-blood-2,nettuɾu,blood-B,false,expert,,,,,"High quality look alike to set - 3748 (pg.335), but not in DED list., Kolipakam"
199,Betta_Kurumba-blood-1,nəttəɾə,blood-B,false,expert,,,,,"High quality lookalike to set - 3748, Kolipakam"
200,Brahui-blood-1,ditaɾ,blood-B,false,expert,BurrowEmeneau1961[335],,,,"DED3748, "
201,Gondi-blood-1,nettuɾ,blood-B,false,expert,BurrowEmeneau1961[335],,,,"DED3748, "
202,Kolami-blood-1,nettuɾ,blood-B,false,expert,BurrowEmeneau1961[335],,,,"DED3748, "
203,Kota-blood-1,ne:tuɾu,blood-B,false,expert,BurrowEmeneau1961[335],,,,"DED3748, "
204,Koya-blood-1,nettuɾ,blood-B,false,expert,,,,,"High quality look alike to set - 3748 (pg.335), but not in DED list., Kolipakam"
205,Kuwi-blood-1,nettir,blood-B,false,expert,BurrowEmeneau1961[335],,,,"DED3748, "
206,Ollari_Gadba-blood-1,nettiɾ,blood-B,false,expert,BurrowEmeneau1961[335],,,,"DED3748, "
207,Parji-blood-1,netir,blood-B,false,expert,Andronov1964;BurrowEmeneau1961[335],,,,"; set - 3748, "
208,Telugu-blood-2,nettuɾu,blood-B,false,expert,BurrowEmeneau1961[335],,,,"set - 3748, "
209,Tulu-blood-1,nettarə,blood-B,false,expert,BurrowEmeneau1961[335],,,,"set - 3748, "
210,Kurukh-blood-1,kʰe:ns,blood-C,false,expert,BurrowEmeneau1961[175],,,,"DED1931, "
211,Kodava-blood-1,tʃo:ɾə,blood-D,false,expert,BurrowEmeneau1961[250],,,,"set - 2883, "
212,Malayalam-blood-2,tʃo:ɾa,blood-D,false,expert,BurrowEmeneau1961[250],,,,"set - 2883, "
213,Yeruva-blood-1,tʃo:ɾe,blood-D,false,expert,,,,,"High quality look alike to set - 2883 (pg.250), but not in DED list., Kolipakam"
214,Toda-blood-1,po:kʰə,blood-E,false,expert,BurrowEmeneau1961[482],,,,"set -5334, "
215,Malto-blood-1,ɾasadu,blood-F,false,expert,,,,,"No obvious cognates or entry in DED, Kolipakam"
216,Badga-bone-1,ilə,bone-A,false,expert,,,,,"High quality look alike of set - 839 (pg. 81) but not in DED list, Kolipakam"
217,Betta_Kurumba-bone-1,jaləʋə,bone-A,false,expert,BurrowEmeneau1961[81],,,,"DED839, "
218,Kannada-bone-1,jelubu,bone-A,false,expert,Andronov1964;BurrowEmeneau1961[81],,,,"; set - 839, "
